SeriesInd,group,Var01,Var02,Var03,Var05,Var07
40820,S05,61.049999,45019200,59.290001,60.740002,59.529999
40823,S05,60.41,28389500,59.200001,59.98,59.299999
40824,S05,61.439999,48460700,59.380001,59.619999,61.240002
40825,S05,61.599998,31693200,59.82,61.580002,60.029999
40826,S05,62,33020100,61.16,61.5,61.889999
40827,S05,61.919998,21227100,61.18,61.68,61.860001
40830,S05,62.459999,24667800,61.32,62.060001,61.369999
40831,S05,62.57,24532600,61.490002,61.889999,62.509998
40832,S05,62.619999,20652700,61.900002,61.970001,62.509998
40833,S05,62.700001,23310200,61.950001,62.419998,62.599998
40834,S05,63.369999,32747000,62.400002,62.779999,63.099998
40837,S05,64.5,24877600,62.849998,64.099998,63.130001
40838,S05,63.200001,26147000,61.790001,63.130001,61.939999
40839,S05,62.259998,38058900,60.900002,61.709999,61.099998
40840,S05,61.200001,34188500,59.869999,60.82,60.07
40841,S05,60.240002,118023500,59.099998,60.150002,59.099998
40844,S05,59.389999,43013000,58.470001,59.310001,58.470001
40845,S05,58.09,52525000,57,58,57.290001
40846,S05,57.73,43944900,56.919998,57.330002,57.07
40847,S05,57.27,47746400,56.169998,56.98,56.610001
40848,S05,56.990002,32767900,55.939999,56.849998,56.57
40852,S05,57.59,36912100,56.77,57.169998,57.459999
40853,S05,58.450001,41797200,57.259998,57.369999,58.43
40854,S05,59.200001,40430300,58.130001,59.130001,58.810001
40855,S05,59.009998,25976500,58.299999,58.759998,58.779999
40858,S05,58.939999,23515000,58.200001,58.290001,58.939999
40859,S05,59.720001,30514200,59.040001,59.599998,59.419998
40860,S05,59.34,26061100,58.619999,59.220001,59.259998
40861,S05,59.490002,24737300,58.59,59.360001,59.27
40862,S05,59.110001,35805700,57.810001,58.84,57.959999
40865,S05,58.740002,20960000,58.099998,58.330002,58.43
40866,S05,58.990002,23807300,57.669998,57.68,58.950001
40867,S05,59.130001,26859700,57.599998,59.130001,58.169998
40868,S05,59.790001,27051400,58.66,58.709999,59.380001
40869,S05,59.810001,19281400,58.799999,59.259998,59.720001
40872,S05,60.439999,20236500,59.630001,59.700001,60.389999
40873,S05,60.900002,22400800,60.389999,60.619999,60.810001
40874,S05,61.27,23511100,60.73,60.73,60.91
40875,S05,61.880001,33763000,60.290001,61.419998,60.34
40876,S05,60.509998,29354600,59.599998,60.150002,59.68
40879,S05,62.040001,28144000,60.610001,60.639999,61.939999
40880,S05,62.990002,31075800,61.880001,61.98,62.720001
40881,S05,62.889999,21033800,62.27,62.860001,62.720001
40882,S05,62.709999,19985300,61.849998,62.279999,62.709999
40883,S05,62.5,23097300,61.25,61.919998,61.970001
40886,S05,62.669998,14731300,62.18,62.560001,62.450001
40887,S05,62.169998,23188500,61.450001,61.849998,61.93
40888,S05,60.66,24281300,60.200001,60.549999,60.389999
40889,S05,60.560001,16951300,59.560001,59.700001,60.23
40890,S05,60.450001,14651300,59.799999,59.959999,59.91
40893,S05,60.25,14301100,59.25,59.599998,59.880001
40894,S05,61.16,20122200,60.139999,60.490002,60.82
40895,S05,60.720001,20071500,59.630001,60.669998,60.150002
40896,S05,60.060001,21174500,58.900002,59.93,59.290001
40897,S05,59.07,21008800,58.549999,59.02,58.889999
40900,S05,60.049999,21337700,58.900002,58.970001,59.5
40901,S05,59.450001,25679100,58.790001,58.959999,58.939999
40902,S05,59.400002,20944000,58.419998,58.689999,58.91
40903,S05,59.5,22320900,58.330002,59.360001,58.48
40904,S05,59.959999,28279500,58.049999,58.720001,59.799999
40907,S05,59.900002,16265100,58.959999,59.560001,59
40908,S05,59.540001,26985400,58.5,58.75,59.110001
40909,S05,60.959999,26286200,59.720001,60.040001,60.91
40910,S05,61.060001,18662600,60.369999,60.490002,61.060001
40911,S05,61.599998,21982900,60.75,61.200001,61.32
40915,S05,61.07,19435700,60.450001,60.889999,60.549999
40916,S05,61.259998,17380600,60.630001,60.66,60.75
40917,S05,61.59,16525200,60.91,61.5,61.049999
40918,S05,61.48,14488400,60.950001,61.380001,61.200001
40921,S05,61.52,23141800,60.540001,61.389999,61
40922,S05,61.34,17977500,60.75,60.84,61.009998
40923,S05,61.029999,18769900,60.360001,60.759998,61
40924,S05,60.990002,16432500,60.450001,60.849998,60.970001
40925,S05,61.299999,26447200,60.630001,61.189999,60.779999
40928,S05,61.82,21788100,60.950001,61.040001,61.549999
40929,S05,61.900002,20525200,61.25,61.650002,61.540001
40930,S05,62,18207700,61.41,61.560001,61.450001
40931,S05,61.57,18097800,60.900002,60.990002,61.150002
40932,S05,62.130001,25145300,61.360001,61.509998,61.75
40935,S05,62.080002,16642800,61.68,61.990002,61.709999
40936,S05,62.259998,18806700,61.27,61.630001,62.060001
40937,S05,62.02,21158000,61.27,61.77,61.59
40938,S05,62.439999,25460200,61.470001,61.950001,61.790001
40939,S05,62.580002,24160200,61.799999,62.32,62.540001
40942,S05,62.73,16902500,61.84,62.52,62.189999
40943,S05,63.400002,25185400,62.43,62.59,63.259998
40944,S05,63.939999,21645200,63.18,63.18,63.939999
40945,S05,64,19468400,63.369999,63.959999,63.849998
40946,S05,64.529999,22370500,63.630001,63.810001,64.379997
40949,S05,64.809998,13848900,64.309998,64.360001,64.550003
40950,S05,64.889999,20732000,63.93,64.309998,64.699997
40951,S05,65.290001,22560500,64.57,64.839996,65.040001
40952,S05,65.449997,17778100,64.870003,65.050003,65.300003
40953,S05,65.650002,25500700,64.82,65.639999,65.190002
40956,S05,66.540001,22481700,65.029999,65.190002,66.279999
40957,S05,66.040001,25367400,64.589996,65.589996,65.120003
40958,S05,66.389999,20543900,65.349998,65.470001,66.010002
40959,S05,66.800003,21291200,65.650002,66.290001,66.32
40960,S05,66.550003,13332800,66.129997,66.510002,66.339996
40963,S05,66.809998,16516600,66.160004,66.68,66.199997
40964,S05,66.57,17652900,65.809998,65.959999,66.529999
40965,S05,65.989998,23358900,65.089996,65.949997,65.669998
40966,S05,66.699997,20464200,66.050003,66.43,66.220001
40967,S05,66.559998,19265600,65.989998,66.099998,66.489998
40970,S05,67.209999,22372700,66.629997,66.720001,66.949997
40971,S05,68.25,26192200,67.209999,67.32,67.839996
40972,S05,68.269997,26545300,67.32,68.230003,67.970001
40973,S05,69.599998,31221400,68.290001,68.400002,69.379997
40974,S05,70,26531700,69.400002,69.440002,70
40977,S05,70.419998,23628000,69.459999,69.489998,70.32
40978,S05,71.110001,33938100,70.099998,70.290001,70.629997
40979,S05,71.160004,25482400,70.150002,70.959999,71.129997
40980,S05,71.900002,23788900,70.730003,71,71.830002
40981,S05,71.400002,24598100,70.43,71.379997,70.989998
40984,S05,71.220001,18779600,70.440002,71.010002,70.480003
40985,S05,69.82,27543400,68.559998,69.620003,68.940002
40986,S05,69.379997,17471800,68.559998,68.839996,69.010002
40987,S05,70.389999,18322900,69.639999,69.650002,70.309998
40988,S05,70.589996,24116400,69.360001,70.199997,70.540001
40991,S05,70.300003,18907900,68.790001,70.099998,70.190002
40992,S05,69.150002,22672000,68.32,68.800003,68.980003
40993,S05,70,19335600,69.190002,69.25,69.879997
40995,S05,69.43,7324600,68.900002,69.300003,69.230003
40998,S05,69.639999,20021200,68.300003,68.860001,69.449997
40999,S05,69.75,27524300,68.32,68.550003,69.559998
41000,S05,71.550003,26590200,70.379997,70.379997,71.330002
41001,S05,71.660004,21274800,70.949997,71.190002,71.480003
41002,S05,71.300003,19457100,70.889999,71.010002,71.190002
41005,S05,71.599998,15985400,71.059998,71.199997,71.309998
41006,S05,72.18,23694600,71.419998,71.910004,71.459999
41007,S05,72.220001,22654900,71.480003,71.870003,71.849998
41008,S05,72.139999,17971600,71.330002,72.050003,72
41009,S05,72.18,17699500,71.620003,72.18,72.18
41012,S05,72.75,21170500,72.07,72.410004,72.360001
41013,S05,72.5,20625900,71.93,72.230003,72.18
41014,S05,72.309998,20979000,71.790001,71.870003,71.849998
41015,S05,72.330002,18513900,71.57,71.919998,72.220001
41016,S05,72.389999,36761300,71.779999,72.110001,72.169998
41019,S05,72.5,16045800,71.879997,72.239998,72.220001
41020,S05,72.970001,21772800,72.230003,72.43,72.720001
41021,S05,73,14606600,72.650002,72.940002,72.800003
41022,S05,73.199997,11390900,72.830002,72.940002,73.199997
41026,S05,73.300003,9757200,72.809998,72.809998,73.010002
41027,S05,73.559998,14423400,72.959999,73.199997,73.419998
41028,S05,73.690002,11797700,73.339996,73.410004,73.370003
41029,S05,73.510002,10790400,73.050003,73.290001,73.360001
41030,S05,73.510002,15273700,73.019997,73.160004,73.120003
41033,S05,74.790001,23320700,73.639999,73.720001,74.550003
41034,S05,74.949997,20028500,74.419998,74.709999,74.900002
41035,S05,74.870003,16550800,74.139999,74.669998,74.699997
41036,S05,75.43,22525300,74.669998,74.900002,75.18
41037,S05,75.900002,19297700,75.089996,75.209999,75.589996
41040,S05,75.269997,20766400,74.580002,75.129997,75.129997
41041,S05,75.860001,15805400,75.019997,75.019997,75.690002
41042,S05,76.620003,17363000,75.669998,75.940002,76.580002
41043,S05,76.82,20438100,75.980003,76.650002,76.709999
41044,S05,78,23478700,76.5,76.669998,77.839996
41048,S05,78.849998,23883600,77.720001,77.790001,78.709999
41049,S05,78.93,21844100,78.129997,78.629997,78.239998
41050,S05,78.160004,29121600,76.769997,77.980003,77.75
41051,S05,79.099998,25084400,78.059998,78.209999,78.980003
41054,S05,79.18,24871600,78.089996,78.849998,78.589996
41055,S05,78.989998,21626300,77.93,78.220001,78.68
41056,S05,79.860001,25555400,78.489998,78.709999,79.660004
41057,S05,79.980003,17003500,79.339996,79.839996,79.879997
41058,S05,79.889999,26300600,78.870003,79.779999,78.989998
41061,S05,80.82,34514400,79.010002,79.919998,80.68
41062,S05,83.959999,40829600,81.040001,81.139999,83.910004
41063,S05,83.980003,18176900,83.260002,83.589996,83.410004
41064,S05,83.550003,19647700,82.459999,83.059998,83.440002
41065,S05,83.519997,16558300,82.849998,83.25,83.279999
41068,S05,84,15304300,83.360001,83.449997,83.93
41069,S05,83.650002,17463500,82.639999,83.5,82.980003
41070,S05,82.779999,15890900,81.769997,82.440002,82.550003
41071,S05,83.309998,21050500,81.610001,81.68,83.199997
41072,S05,83.410004,15993500,82.230003,82.230003,82.82
41075,S05,85.110001,33108300,81.889999,82.07,84.910004
41076,S05,84.889999,25684600,82.669998,84.790001,82.970001
41077,S05,83.860001,16673500,82.860001,83.059998,83.690002
41078,S05,83.970001,17853500,83.050003,83.970001,83.879997
41079,S05,84.5,22839500,83.5,83.910004,84.5
41083,S05,86.699997,32580400,84.730003,84.970001,85.440002
41084,S05,88.230003,38624600,85.470001,86,87.07
41085,S05,87.529999,28577100,85.459999,87.199997,85.970001
41086,S05,86.239998,22230300,85.290001,85.790001,85.339996
41089,S05,86.559998,24507000,85.489998,85.870003,85.529999
41090,S05,86.5,23001800,84.699997,86.410004,84.800003
41091,S05,85.32,17423600,83.550003,84.589996,85.080002
41092,S05,85.949997,17153500,85.050003,85.459999,85.82
41093,S05,86,20028600,84.699997,85.919998,85.080002
41096,S05,86.080002,18062700,84.690002,85.839996,84.720001
41097,S05,85.110001,17658200,83.75,84.599998,84.599998
41098,S05,84.550003,13306600,83.559998,84.120003,84.379997
41099,S05,83.800003,25996300,81.199997,83.800003,81.379997
41100,S05,82.910004,17607100,80.099998,81.019997,82.120003
41103,S05,82.639999,16383200,81.459999,81.669998,82.379997
41104,S05,82.089996,23191300,79.75,80.169998,81.389999
41105,S05,81.809998,33396500,78.800003,81.230003,79.309998
41106,S05,81.5,21941300,80.230003,80.379997,81.160004
41107,S05,82.330002,28895900,80.849998,81.769997,80.849998
41110,S05,83.330002,18207000,81.860001,81.870003,82.839996
41111,S05,83.230003,16209700,82.330002,83.099998,82.559998
41112,S05,83,15390600,82,82.650002,82.599998
41113,S05,83.470001,17009000,82.550003,82.779999,82.730003
41114,S05,83.93,16497300,82.82,82.989998,83.620003
41117,S05,84.010002,14608200,83.449997,83.860001,83.470001
41118,S05,83.889999,16277400,82.610001,83.160004,83.25
41119,S05,84.860001,15770400,83.510002,83.800003,84.489998
41120,S05,84.940002,15317800,84.110001,84.82,84.129997
41121,S05,84.839996,15531500,84.169998,84.720001,84.68
41124,S05,84.93,13096100,84.07,84.260002,84.870003
41125,S05,85.940002,17122600,84.559998,84.68,85.419998
41126,S05,85.889999,13339700,84.959999,85.730003,85.18
41127,S05,85.790001,16006700,84.910004,85.160004,85.760002
41128,S05,86.220001,15943200,85.360001,86,85.949997
41131,S05,86.150002,13026500,84.779999,85.949997,85.160004
41132,S05,84.25,20728800,82.669998,84.239998,83.18
41133,S05,83.949997,14489400,82.559998,83.580002,83.160004
41134,S05,83.839996,15717500,82.379997,82.379997,83.440002
41135,S05,84.470001,17022500,83.360001,83.800003,84.290001
41138,S05,84,15107300,82.440002,83.110001,83.099998
41139,S05,83.989998,12770800,82.970001,82.970001,83.800003
41140,S05,85.68,15447600,84.870003,85.050003,85.650002
41141,S05,86.43,12797200,85.559998,85.769997,86.360001
41145,S05,86.5,9852800,85.889999,86.290001,86.220001
41146,S05,87.480003,17908800,86.260002,86.43,87.419998
41147,S05,87.900002,17755800,86.290001,87.480003,87.779999
41148,S05,87.5,18705300,86.529999,87.029999,87.339996
41149,S05,88,17352300,87.029999,87.43,87.980003
41152,S05,88.129997,18651200,86.470001,88.099998,86.970001
41153,S05,86.779999,18417100,85.040001,86.589996,85.620003
41154,S05,85.599998,22867000,83.910004,85.190002,84.809998
41155,S05,83.989998,27491200,81.589996,83.519997,82.620003
41156,S05,84.099998,26314700,81.849998,83.269997,82.690002
41159,S05,83.720001,18254600,82.160004,83.010002,83.18
41160,S05,83.760002,17695700,82.5,83.080002,83.339996
41161,S05,82.690002,24192000,80.440002,82.510002,81.120003
41162,S05,81.589996,21853600,79.419998,80.620003,81.050003
41163,S05,81.769997,17628500,80.220001,81.290001,80.870003
41166,S05,81.269997,16435100,80.120003,80.220001,80.239998
41167,S05,80.790001,18067800,79.599998,79.989998,80.410004
41168,S05,82.269997,17957000,80.43,80.879997,81.739998
41169,S05,82.580002,15229100,81.339996,82.269997,82.330002
41170,S05,82.25,19003400,80.900002,81.980003,81.57
41173,S05,81.010002,16288500,80.07,80.220001,80.669998
41174,S05,82.120003,15687300,80.940002,81.050003,81.290001
41175,S05,82.529999,19347200,80.839996,80.970001,81.959999
41176,S05,82.57,16873700,81.190002,81.599998,82.389999
41177,S05,83.129997,11949100,82.150002,82.739998,82.629997
41181,S05,83.75,23630700,82.720001,83.279999,83.470001
41182,S05,83.650002,19550200,81.760002,83.550003,82.029999
41183,S05,82.32,18152600,80.650002,81.769997,81.330002
41184,S05,81.790001,17281200,80.18,80.239998,81.18
41187,S05,81.190002,15954300,80.080002,80.93,80.290001
41188,S05,81.089996,16188100,79.970001,80.610001,80
41189,S05,81.870003,23567300,80.519997,80.610001,80.760002
41190,S05,81.68,17665100,80.959999,81.239998,81.18
41191,S05,80.949997,18965900,79.720001,80.949997,79.779999
41194,S05,80.599998,17854200,78.839996,80,79.230003
41195,S05,80.82,16443400,79.940002,80.050003,80.379997
41196,S05,79.889999,21713900,78.370003,79.529999,78.660004
41197,S05,79.510002,19037500,78.330002,78.589996,79.220001
41198,S05,79.949997,25441200,78.690002,79.849998,79.019997
41201,S05,79.949997,15836400,78.620003,78.650002,79.709999
41202,S05,81.120003,17897300,80.010002,80.230003,80.57
41203,S05,80.669998,18599700,79.57,80.160004,79.82
41204,S05,78.75,30032800,77.230003,78.739998,78.440002
41205,S05,78.629997,36292700,76.779999,78.550003,76.779999
41208,S05,78.480003,20606900,76.720001,76.879997,77.919998
41209,S05,79.660004,18421500,78.379997,78.57,79.629997
41210,S05,80.5,18899900,79.220001,79.849998,80.25
41211,S05,81.410004,19942100,80.269997,80.389999,81.379997
41212,S05,82.089996,18050100,80.589996,81.190002,82.010002
41216,S05,82.120003,18859600,81.260002,81.300003,81.599998
41217,S05,81.660004,15042600,80.849998,81.400002,81.57
41218,S05,82.599998,18379200,81.870003,82.269997,82.360001
41219,S05,82.529999,18336500,81.459999,81.580002,82.419998
41222,S05,82.110001,20717000,81.120003,81.300003,81.900002
41223,S05,83.010002,22639600,81.5,81.510002,81.889999
41224,S05,83.459999,19015100,82.080002,82.269997,82.480003
41225,S05,83.110001,19413200,82.089996,83.050003,82.239998
41226,S05,83.089996,22705100,82.260002,82.419998,83
41229,S05,82.849998,17343500,82.080002,82.290001,82.650002
41230,S05,83.760002,16424900,82.800003,82.900002,83.629997
41231,S05,83.889999,12808400,83.169998,83.839996,83.300003
41232,S05,85.239998,21359700,83.75,83.860001,85.019997
41233,S05,85.410004,13152600,84.540001,85.199997,85.220001
41236,S05,85.129997,14007600,84.199997,84.199997,84.57
41237,S05,85.099998,16226700,84.040001,84.669998,84.370003
41238,S05,84.25,19820600,83.239998,83.790001,83.309998
41239,S05,82.449997,24556600,81.150002,81.739998,81.459999
41240,S05,80.879997,26609000,79.760002,80.790001,79.790001
41243,S05,81.18,22864500,78.739998,80.82,79.599998
41244,S05,79.610001,28410500,77.82,78.900002,77.839996
41245,S05,78.099998,28373000,76.459999,77.940002,77.720001
41246,S05,77.129997,42624200,73.510002,76.68,73.839996
41247,S05,75.790001,47167500,72.07,75.010002,74.82
41250,S05,73.440002,58857600,69.900002,72.739998,70.190002
41251,S05,71.870003,61753300,67.029999,70.790001,71.639999
41252,S05,70.989998,47758300,67.459999,70.739998,68.029999
41253,S05,72.400002,50328600,68.629997,68.809998,71.580002
41254,S05,73.099998,31129000,71.599998,72.360001,72
41257,S05,74.379997,23388200,72.75,73.040001,74.290001
41258,S05,74.339996,26341400,72.830002,73.349998,73.5
41259,S05,74.75,18269400,73.5,74.290001,74.160004
41260,S05,72.790001,35457700,70.209999,72.410004,70.940002
41261,S05,71.980003,34935300,69.669998,70.07,69.800003
41264,S05,72.160004,27202900,69.580002,72.150002,70.18
41265,S05,73.800003,38059600,70.519997,70.599998,73.660004
41266,S05,73.860001,22752900,72.269997,72.959999,73.540001
41267,S05,73.919998,30924500,71.269997,73.639999,71.769997
41268,S05,73,26974400,70.209999,70.879997,72.639999
41271,S05,74.220001,18967100,72.980003,73.330002,74.120003
41272,S05,74.400002,22437000,72.970001,73.589996,73.910004
41273,S05,74.870003,29189000,73.339996,74.360001,74.019997
41274,S05,74.860001,23393500,73.449997,74.150002,73.489998
41275,S05,72.690002,21071800,71.5,72.110001,72.139999
41279,S05,71.32,25416300,69.910004,70.139999,71.150002
41280,S05,73.650002,23108400,71.75,72.239998,73.650002
41281,S05,74.339996,22434800,72.540001,73.389999,72.82
41282,S05,72.57,27969100,70.589996,72.169998,71.010002
41285,S05,71.889999,26205800,69.870003,70.339996,71.839996
41286,S05,71.980003,22825400,70.809998,71.760002,71.650002
41287,S05,73.760002,26042800,71.160004,71.959999,72.639999
41288,S05,74.059998,21858300,72.68,73.43,74.010002
41289,S05,74.75,34652600,73.57,74.519997,74.550003
41292,S05,74.099998,19822500,72.5,72.910004,73.699997
41293,S05,74.980003,20420000,73.440002,73.870003,74.010002
41294,S05,74.290001,23806200,71.830002,73.879997,71.970001
41295,S05,70.459999,43223000,68.169998,69.940002,69.239998
41296,S05,70.110001,26583200,67.93,68.459999,69.309998
41299,S05,71.889999,30342400,69.5,70.010002,71.720001
41300,S05,74.339996,26689900,72.419998,73.330002,72.910004
41301,S05,74.290001,26026500,71.860001,72.43,72.07
41302,S05,74.040001,27713900,72.669998,73.120003,73.879997
41303,S05,74.589996,30917000,72.629997,72.760002,72.629997
41306,S05,73.099998,31004200,71.150002,72.050003,71.150002
41307,S05,73.150002,36500000,69.209999,70.25,72.830002
41308,S05,74,28239800,72.209999,72.669998,73.949997
41309,S05,74,24869800,72.629997,73.300003,73.889999
41310,S05,74.519997,23573900,73.029999,74.470001,73.559998
41313,S05,76.290001,20465800,74.650002,74.730003,76.279999
41314,S05,76.669998,17862100,75.709999,75.779999,76.269997
41315,S05,77.660004,22239000,76.309998,76.739998,77.160004
41316,S05,76.790001,19540300,75.839996,76.220001,76.370003
41317,S05,78.230003,17870600,77.07,77.099998,78.110001
41320,S05,78.489998,18836200,77.120003,77.870003,77.470001
41321,S05,79.510002,23878500,77.019997,77.57,78.889999
41322,S05,79.239998,20910900,77.919998,78.57,78.43
41323,S05,79.110001,22227600,77.830002,78.32,78.709999
41324,S05,80.160004,27855300,79.18,79.589996,80.129997
41327,S05,80.5,19861100,79.550003,79.919998,80.169998
41328,S05,80.489998,23433400,79.050003,79.830002,79.440002
41329,S05,81.269997,27170500,79.279999,80.160004,81.07
41330,S05,82.199997,35489500,80.690002,81.910004,81.879997
41331,S05,81.989998,21753400,80.440002,80.989998,81.480003
41334,S05,80.639999,30616900,78,80.589996,78.089996
41335,S05,77.110001,35835000,75.449997,75.82,75.940002
41336,S05,77.589996,21761300,76.5,77.370003,77.370003
41337,S05,79,24480600,77.440002,78.190002,78.860001
41338,S05,78.610001,18192800,77.379997,78.07,78.519997
41341,S05,79.489998,17998100,78.120003,78.82,79.349998
41342,S05,79.879997,19023800,78.629997,79.25,79.760002
41343,S05,78.919998,24130100,77.029999,77.900002,77.389999
41344,S05,79.019997,18668800,77.639999,78.529999,78.699997
41345,S05,79.949997,15134500,79.339996,79.629997,79.720001
41348,S05,79.75,13589900,78.389999,79.529999,78.959999
41349,S05,79.849998,19475000,78.5,78.860001,79.089996
41350,S05,79.75,20376800,78.059998,78.239998,78.25
41351,S05,79.43,25964300,77.099998,78.120003,77.860001
41352,S05,78.68,23104500,77.110001,78.220001,77.900002
41355,S05,77.330002,20204200,76.059998,76.529999,76.910004
41356,S05,77.099998,18925100,75.879997,76.379997,76.029999
41357,S05,75.32,23331800,74.529999,75.029999,74.580002
41359,S05,75.199997,10254500,73.900002,74.510002,73.900002
41362,S05,76.510002,20148600,75.330002,75.839996,75.839996
41363,S05,77.5,19768400,76.139999,76.410004,76.93
